"","runset","outroot","outno","fmtno","outdir","indir","gdem_dir","priordb","case","pass","day","smearing","land_sig0","water_sig0","gdem_name","notes","rtviz_url","refdem","refdem_res","tile"
"21","roruns","./output/sac",21,21,"./output/sac21","$SACDIR2","$SACDIR2","$PRIORLOC1","Sacramento",249,109,"50m","-5dB","10dB","gdem_preproc.nc","","https://osu.box.com/shared/static/27k4buq0ef5jgr3d147slqfd8wcmegun.rdata","GDEM",NA,NA
"22","roruns","./output/sac",22,22,"./output/sac22","$SACDIR3","$SACDIR3","$PRIORLOC1","Sacramento",249,109,"50m","68 pctile","3dB wind calc","gdem_preproc.nc","darkwater","https://osu.box.com/shared/static/02z036b1nqyyv3yqa9ys07hupc3yoohw.rdata","GDEM",NA,NA
"23","roruns","./output/sac",23,23,"./output/sac23","$SACDIR4","$SACDIR4","$PRIORLOC1","Sacramento",249,109,"50m","-100dB","3dB wind calc","gdem_preproc.nc","darkwater","https://osu.box.com/shared/static/jrfu7x7029bvbfj4aqytx3dxzwtfi097.rdata","GDEM",NA,NA
"24","roruns","./output/sac",24,24,"./output/sac24","$SACDIR5","$SACDIR5","$PRIORLOC1","Sacramento",249,109,"50m","-100dB","10dB","gdem_preproc.nc","","https://osu.box.com/shared/static/2rstt6ihoimmh8ijswx0m5352a55amrw.rdata","GDEM",NA,NA
"25","roruns","./output/sac",25,25,"./output/sac25","$SACDIR6","$SACDIR6","$PRIORLOC1","Sacramento",249,220,"50m","-5dB","10dB","gdem_preproc.nc","","https://osu.box.com/shared/static/yb8c2894aa7gn7odlxd30tzwbiues3kt.rdata","GDEM",NA,NA
"26","roruns","./output/sac",26,26,"./output/sac26","$SACDIR7","$SACDIR7","$PRIORLOC1","Sacramento",249,220,"50m","68 pctile","3dB wind calc","gdem_preproc.nc","","https://osu.box.com/shared/static/jdwqqdo1ir3lsbv6som3ha9z0tmtiqcd.rdata","GDEM",NA,NA
"27","roruns","./output/sac",27,27,"./output/sac27","$SACDIR8","$SACDIR8","$PRIORLOC1","Sacramento",249,220,"50m","-100dB","3dB wind calc","gdem_preproc.nc","","https://osu.box.com/shared/static/9jwvej34o42w5ab32r8praxa7o2a4nh6.rdata","GDEM",NA,NA
"28","roruns","./output/sac",28,28,"./output/sac28","$SACDIR9","$SACDIR9","$PRIORLOC1","Sacramento",249,220,"50m","-100dB","10dB","gdem_preproc.nc","","https://osu.box.com/shared/static/tvx9rgpngj1o1ufunmqw4qwf5i8bz9vd.rdata","GDEM",NA,NA
"29","roruns","./output/sac",29,29,"./output/sac29","$SACDIR2","$SACDIR2","$PRIORLOC2","Sacramento",249,109,"50m","-5dB","10dB","gdem_preproc.nc","","https://osu.box.com/shared/static/p3g3kyqxljri19gce4u12ves89ncwui1.rdata","GDEM",NA,NA
"30","roruns","./output/sac",30,30,"./output/sac30","$SACDIR3","$SACDIR3","$PRIORLOC2","Sacramento",249,109,"50m","68 pctile","3dB wind calc","gdem_preproc.nc","","https://osu.box.com/shared/static/oj0z37vewy67hex4gl1a9cfscn7fqkuc.rdata","GDEM",NA,NA
"31","roruns","./output/sac",31,31,"./output/sac31","$SACDIR4","$SACDIR4","$PRIORLOC2","Sacramento",249,109,"50m","-100dB","3dB wind calc","gdem_preproc.nc","","https://osu.box.com/shared/static/595pjy9s4t5pnz5x6k9twbsnhg92vq8k.rdata","GDEM",NA,NA
