outroot,outno,fmtno,outdir,indir,gdem_dir,priordb,case,pass,day,smearing,land_sig0,water_sig0,gdem_name,notes,rtviz_url,refdem,refdem_res,tile
./output/sac,65,65,./output/sac/65,slc-sac/output_sac_pixc_dir_0249_single_true-ref_10m/GDEM_DEM_ellip_130_0249/cycle_0001_pass_0249_001L_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0249_single_land-100dB/GDEM_DEM_ellip_130_0249/cycle_0001_pass_0249_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,130,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,manuscript,NA,GDEM,10m,001L
./output/sac,66,66,./output/sac/66,slc-sac/output_sac_pixc_dir_0249_single_srtm_10m/GDEM_DEM_ellip_130_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0249_single_land-100dB/GDEM_DEM_ellip_130_0249/cycle_0001_pass_0249_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,130,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,manuscript,,SRTM,10m,001L
./output/sac,67,67,./output/sac/67,slc-sac/output_sac_pixc_dir_0249_single_true-ref_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0249_single_land-100dB/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,220,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,manuscript,,GDEM,10m,001L
./output/sac,68,68,./output/sac/68,slc-sac/output_sac_pixc_dir_0249_single_srtm_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0249_single_land-100dB/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,220,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,manuscript,,SRTM,10m,001L
./output/sac,69,69,./output/sac/69,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,110,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,,SRTM,10m,001L
./output/sac,70,70,./output/sac/70,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,110,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,71,71,./output/sac/71,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,131,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,manuscript,,GDEM,10m,001L
./output/sac,72,72,./output/sac/72,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,131,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,manuscript,,SRTM,10m,001L
./output/sac,73,73,./output/sac/73,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,131,50m,-100dB,10dB,gdem_truth.RightSwath.nc,manuscript,,GDEM,10m,001R
./output/sac,74,74,./output/sac/74,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_131_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,131,50m,-5dB,10dB,gdem_truth.RightSwath.nc,manuscript,,SRTM,10m,001R
./output/sac,75,75,./output/sac/75,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,manuscript,,GDEM,10m,001L
./output/sac,76,76,./output/sac/76,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,manuscript,,SRTM,10m,001L
./output/sac,77,77,./output/sac/77,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-100dB,10dB,gdem_truth.RightSwath.nc,manuscript,,GDEM,10m,001R
./output/sac,78,78,./output/sac/78,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-5dB,10dB,gdem_truth.RightSwath.nc,manuscript,,SRTM,10m,001R
./output/sac,79,79,./output/sac/79,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,119,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,80,80,./output/sac/80,slc-sac/output_sac_pixc_dir_0527_single_true-ref_10m/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,209,50m,-100dB,10dB,gdem_truth.RightSwath.nc,manuscript,,GDEM,10m,001R
./output/sac,81,81,./output/sac/81,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,209,50m,-5dB,10dB,gdem_truth.RightSwath.nc,manuscript,,SRTM,10m,001R
./output/sac,82,82,./output/sac/82,slc-sac/output_sac_pixc_dir_0527_single_true-ref_10m/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,302,50m,-100dB,10dB,gdem_truth.RightSwath.nc,manuscript,,GDEM,10m,001R
./output/sac,83,83,./output/sac/83,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,302,50m,-5dB,10dB,gdem_truth.RightSwath.nc,manuscript,,SRTM,10m,001R
