outroot,outno,fmtno,outdir,indir,gdem_dir,priordb,case,pass,day,smearing,land_sig0,water_sig0,gdem_name,notes,rtviz_url,refdem,refdem_res,tile
./output/sac,88,88,./output/sac/88,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_314_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_314_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,314,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,,,GDEM,10m,001L
./output/sac,89,89,./output/sac/89,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_314_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_314_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,314,50m,-100dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
./output/sac,90,90,./output/sac/90,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_323_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_323_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,323,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,91,91,./output/sac/91,slc-sac/output_sac_pixc_dir_0527_single_true-ref_10m/GDEM_DEM_ellip_323_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_323_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,323,50m,-100dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
