outroot,outno,fmtno,outdir,indir,gdem_dir,priordb,case,pass,day,smearing,land_sig0,water_sig0,gdem_name,notes,rtviz_url,refdem,refdem_res,tile
./output/sac,75,75,./output/sac/75,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-100dB,10dB,gdem_truth.LeftSwath.nc,,,GDEM,10m,001L
./output/sac,76,76,./output/sac/76,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001L_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,,SRTM,10m,001L
./output/sac,77,77,./output/sac/77,slc-sac/output_sac_pixc_dir_0264_single_true-ref_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-100dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
./output/sac,78,78,./output/sac/78,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single_land-100dB/GDEM_DEM_ellip_221_0264/cycle_0001_pass_0264_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,221,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,79,79,./output/sac/79,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,119,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,80,80,./output/sac/80,slc-sac/output_sac_pixc_dir_0527_single_true-ref_10m/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,209,50m,-100dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
./output/sac,81,81,./output/sac/81,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_209_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,209,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
./output/sac,82,82,./output/sac/82,slc-sac/output_sac_pixc_dir_0527_single_true-ref_10m/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,302,50m,-100dB,10dB,gdem_truth.RightSwath.nc,,,GDEM,10m,001R
./output/sac,83,83,./output/sac/83,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single_land-100dB/GDEM_DEM_ellip_302_0527/cycle_0001_pass_0527_001R_nlcd-100dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,302,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,,SRTM,10m,001R
