outroot,outno,fmtno,outdir,indir,gdem_dir,priordb,case,pass,day,smearing,land_sig0,water_sig0,gdem_name,notes,rtviz_url,refdem,refdem_res,tile
./output/sac,61,61,./output/sac/61,slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,527,119,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,NA,SRTM,30m,001R
./output/sac,62,62,./output/sac/62,slc-sac/output_sac_pixc_dir_0249_single_srtm_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,249,220,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,NA,SRTM,30m,001L
./output/sac,63,63,./output/sac/63,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,110,50m,-5dB,10dB,gdem_truth.LeftSwath.nc,,NA,SRTM,30m,001L
./output/sac,64,64,./output/sac/64,slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE,$PRIORLOC5,Sacramento,264,110,50m,-5dB,10dB,gdem_truth.RightSwath.nc,,NA,SRTM,30m,001R
